"stationName","date","Rn_Avg_qc_mm","Rn_Avg_qc_count","Rn_Avg_gf_mm","Rn_Avg_gf_count","Rn_Avg_qc_mm_Dqc","Rn_Avg_gf_mm_Dqc","Rn_Avg_gf_mm_Dgf","Tc_H_qc_mm","Tc_H_gf_mm","Tc_aH_qc_mm","Tc_aH_qc_count","Tc_aH_gf_mm","Tc_aH_gf_count","Tc_aH_qc_mm_Dqc","Tc_aH_gf_mm_Dqc","Tc_aH_gf_mm_Dgf","ET_Tc_aH_qc_Dqc","ET_Tc_aH_gf_Dqc","ET_Tc_aH_qc_Dgf","ET_Tc_aH_gf_Dgf","ET_Tc_aH_gf_Dgf2","Tn_H_qc_mm","Tn_H_gf_mm","Tn_aH_qc_mm","Tn_aH_qc_count","Tn_aH_gf_mm","Tn_aH_gf_count","Tn_aH_qc_mm_Dqc","Tn_aH_gf_mm_Dqc","Tn_aH_gf_mm_Dgf","ET_Tn_aH_qc_Dqc","ET_Tn_aH_gf_Dqc","ET_Tn_aH_qc_Dgf","ET_Tn_aH_gf_Dgf","ET_Tn_aH_gf_Dgf2","SR_aH_qc_mm","SR_aH_qc_count","SR_aH_gf_mm","SR_aH_gf_count","SR_aH_qc_mm_Dqc","SR_aH_gf_mm_Dqc","ET_SR_aH_qc_Dqc","ET_SR_aH_gf_Dqc","SR_aH_gf_mm_Dgf","ET_SR_aH_qc_Dgf","ET_SR_aH_gf_Dgf","ET_SR_aH_gf_Dgf2","ETo_mm","Ka_Tc","Ka_Tn","Ka_SR"
"D09_Bacon_Corn","2016-07-15",4.6188922293405,27,4.6188922293405,27,NA,NA,NA,NA,NA,NA,26,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,7.07,NA,NA,NA
"D09_Bacon_Corn","2016-07-16",6.47820495881064,48,6.47820495881064,48,6.47820495881064,6.47820495881064,6.47820495881064,NA,0.634688512820134,NA,47,1.22376177473357,48,NA,1.22376177473357,1.22376177473357,NA,5.25444318407707,5.25444318407707,5.25444318407707,5.25444318407707,0.531673946789126,0.531673946789126,1.1740484134409,48,1.1740484134409,48,1.1740484134409,1.1740484134409,1.1740484134409,5.30415654536974,5.30415654536974,5.30415654536974,5.30415654536974,5.30415654536974,1.1836139448171,48,1.19890509408724,48,1.1836139448171,1.19890509408724,5.29459101399354,5.2792998647234,1.19890509408724,5.2792998647234,5.2792998647234,5.2792998647234,6.76,0.777284494685957,0.784638542214458,0.780961518450208
"D09_Bacon_Corn","2016-07-17",6.30917612811666,48,6.30917612811666,48,6.30917612811666,6.30917612811666,6.30917612811666,NA,0.133325233880568,NA,47,0.903021947632277,48,NA,0.903021947632277,0.903021947632277,NA,5.40615418048438,5.40615418048438,5.40615418048438,5.40615418048438,-0.0313440267473526,-0.0313440267473526,0.795736389410536,48,0.795736389410536,48,0.795736389410536,0.795736389410536,0.795736389410536,5.51343973870612,5.51343973870612,5.51343973870612,5.51343973870612,5.51343973870612,0.836621346562984,48,0.847577550292802,48,0.836621346562984,0.847577550292802,5.47255478155368,5.46159857782386,0.847577550292802,5.46159857782386,5.46159857782386,5.46159857782386,6.51,0.830438430181933,0.846918546652246,0.838955234688765
"D09_Bacon_Corn","2016-07-18",6.1832135867976,48,6.1832135867976,48,6.1832135867976,6.1832135867976,6.1832135867976,0.871994697380056,0.871994697380056,1.24659789852541,48,1.24659789852541,48,1.24659789852541,1.24659789852541,1.24659789852541,4.93661568827219,4.93661568827219,4.93661568827219,4.93661568827219,4.93661568827219,NA,NA,NA,14,NA,14,NA,NA,0.456398726704312,NA,5.72681486009329,NA,5.72681486009329,5.72681486009329,1.24904110432462,48,1.24904110432462,48,1.24904110432462,1.24904110432462,4.93417248247298,4.93417248247298,1.24904110432462,4.93417248247298,4.93417248247298,4.93417248247298,6.17,0.8000997874023,NA,0.799703805911342
"D09_Bacon_Corn","2016-07-19",6.27870616634304,48,6.27870616634304,48,6.27870616634304,6.27870616634304,6.27870616634304,NA,-0.640506972113487,NA,46,0.449743383831169,48,NA,0.449743383831169,0.449743383831169,NA,5.82896278251187,5.82896278251187,5.82896278251187,5.82896278251187,NA,NA,NA,0,NA,0,NA,NA,0.117061063998088,NA,6.16164510234495,NA,6.16164510234495,6.16164510234495,NA,46,0.449743383831169,48,NA,0.449743383831169,NA,5.82896278251187,0.449743383831169,5.82896278251187,5.82896278251187,5.82896278251187,6.45,0.90371516007936,NA,0.90371516007936
"D09_Bacon_Corn","2016-07-20",6.35377131558072,48,6.35377131558072,48,6.35377131558072,6.35377131558072,6.35377131558072,-2.26498355141778,-2.26498355141778,-0.13592613416332,48,-0.13592613416332,48,-0.13592613416332,-0.13592613416332,-0.13592613416332,6.48969744974404,6.48969744974404,6.48969744974404,6.48969744974404,6.48969744974404,NA,NA,NA,0,NA,0,NA,NA,-0.222276598708137,NA,6.57604791428886,NA,6.57604791428886,6.57604791428886,-0.13592613416332,48,-0.13592613416332,48,-0.13592613416332,-0.13592613416332,6.48969744974404,6.48969744974404,-0.13592613416332,6.48969744974404,6.48969744974404,6.48969744974404,6.9,0.940535862281745,NA,0.940535862281745
"D09_Bacon_Corn","2016-07-21",6.1712895041514,48,6.1712895041514,48,6.1712895041514,6.1712895041514,6.1712895041514,-1.08246852323078,-1.08246852323078,0.0630407717576109,48,0.0630407717576109,48,0.0630407717576109,0.0630407717576109,0.0630407717576109,6.10824873239379,6.10824873239379,6.10824873239379,6.10824873239379,6.10824873239379,NA,NA,NA,0,NA,0,NA,NA,-0.561614261414361,NA,6.73290376556576,NA,6.73290376556576,6.73290376556576,0.0630407717576109,48,0.0630407717576109,48,0.0630407717576109,0.0630407717576109,6.10824873239379,6.10824873239379,0.0630407717576109,6.10824873239379,6.10824873239379,6.10824873239379,7.07,0.863967288881724,NA,0.863967288881724
"D09_Bacon_Corn","2016-07-22",6.39730413560754,48,6.39730413560754,48,6.39730413560754,6.39730413560754,6.39730413560754,NA,-1.62213270897078,NA,46,0.0885132473308167,48,NA,0.0885132473308167,0.0885132473308167,NA,6.30879088827672,6.30879088827672,6.30879088827672,6.30879088827672,NA,NA,NA,35,NA,38,NA,NA,-0.900951924120585,NA,7.29825605972813,NA,7.29825605972813,7.29825605972813,NA,47,-0.110205659938436,48,NA,-0.110205659938436,NA,6.50750979554598,-0.110205659938436,6.50750979554598,6.50750979554598,6.50750979554598,6.95,0.907739696154924,NA,0.936332344682874
"D09_Bacon_Corn","2016-07-23",6.5510711690859,48,6.5510711690859,48,6.5510711690859,6.5510711690859,6.5510711690859,NA,-3.64880084622986,NA,47,-0.919454720905471,48,NA,-0.919454720905471,-0.919454720905471,NA,7.47052588999137,7.47052588999137,7.47052588999137,7.47052588999137,-4.4136648941595,-4.4136648941595,-1.24028958682681,48,-1.24028958682681,48,-1.24028958682681,-1.24028958682681,-1.24028958682681,7.79136075591271,7.79136075591271,7.79136075591271,7.79136075591271,7.79136075591271,-1.08312497527488,48,-1.08278857870001,48,-1.08312497527488,-1.08278857870001,7.63419614436078,7.63385974778591,-1.08278857870001,7.63385974778591,7.63385974778591,7.63385974778591,7.56,0.988164800263409,1.03060327459163,1.00976980790819
"D09_Bacon_Corn","2016-07-24",6.8228711921889,48,6.8228711921889,48,6.8228711921889,6.8228711921889,6.8228711921889,NA,-2.13829196041453,NA,47,-0.463878561310251,48,NA,-0.463878561310251,-0.463878561310251,NA,7.28674975349915,7.28674975349915,7.28674975349915,7.28674975349915,-2.36095628779845,-2.36095628779845,-0.606164802936894,48,-0.606164802936894,48,-0.606164802936894,-0.606164802936894,-0.606164802936894,7.42903599512579,7.42903599512579,7.42903599512579,7.42903599512579,7.42903599512579,-0.535718778214524,48,-0.537581391959008,48,-0.535718778214524,-0.537581391959008,7.35858997040342,7.36045258414791,-0.537581391959008,7.36045258414791,7.36045258414791,7.36045258414791,7.26,1.00368453904947,1.02328319492091,1.01383644409751
