"stationName","date","Rn_Avg_qc_mm","Rn_Avg_qc_count","Rn_Avg_gf_mm","Rn_Avg_gf_count","Rn_Avg_qc_mm_Dqc","Rn_Avg_gf_mm_Dqc","Rn_Avg_gf_mm_Dgf","Tc_H_qc_mm","Tc_H_gf_mm","Tc_aH_qc_mm","Tc_aH_qc_count","Tc_aH_gf_mm","Tc_aH_gf_count","Tc_aH_qc_mm_Dqc","Tc_aH_gf_mm_Dqc","Tc_aH_gf_mm_Dgf","ET_Tc_aH_qc_Dqc","ET_Tc_aH_gf_Dqc","ET_Tc_aH_qc_Dgf","ET_Tc_aH_gf_Dgf","ET_Tc_aH_gf_Dgf2","Tn_H_qc_mm","Tn_H_gf_mm","Tn_aH_qc_mm","Tn_aH_qc_count","Tn_aH_gf_mm","Tn_aH_gf_count","Tn_aH_qc_mm_Dqc","Tn_aH_gf_mm_Dqc","Tn_aH_gf_mm_Dgf","ET_Tn_aH_qc_Dqc","ET_Tn_aH_gf_Dqc","ET_Tn_aH_qc_Dgf","ET_Tn_aH_gf_Dgf","ET_Tn_aH_gf_Dgf2","SR_aH_qc_mm","SR_aH_qc_count","SR_aH_gf_mm","SR_aH_gf_count","SR_aH_qc_mm_Dqc","SR_aH_gf_mm_Dqc","ET_SR_aH_qc_Dqc","ET_SR_aH_gf_Dqc","SR_aH_gf_mm_Dgf","ET_SR_aH_qc_Dgf","ET_SR_aH_gf_Dgf","ET_SR_aH_gf_Dgf2","ETo_mm","Ka_Tc","Ka_Tn","Ka_SR"
"D07_Bouldin_Alfalfa","2016-07-14",3.7565709315534,25,3.7565709315534,25,NA,NA,NA,NA,NA,NA,21,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,7.46,NA,NA,NA
"D07_Bouldin_Alfalfa","2016-07-15",6.04774924875252,48,6.04774924875252,48,6.04774924875252,6.04774924875252,6.04774924875252,NA,-0.377046595376339,NA,45,-0.041664077077059,48,NA,-0.041664077077059,-0.041664077077059,NA,6.08941332582958,6.08941332582958,6.08941332582958,6.08941332582958,NA,-0.19767739618212,NA,47,0.0681450762124612,48,NA,0.0681450762124612,0.0681450762124612,NA,5.97960417254006,5.97960417254006,5.97960417254006,5.97960417254006,NA,47,0.0132322875132564,48,NA,0.0132322875132564,NA,6.03451696123926,0.0132322875132564,6.03451696123926,6.03451696123926,6.03451696123926,7.4,0.822893692679673,0.808054617910819,0.815475265032333
"D07_Bouldin_Alfalfa","2016-07-16",5.525596388043,48,5.525596388043,48,5.525596388043,5.525596388043,5.525596388043,3.88266659344114,3.88266659344114,3.24663151106385,48,3.24663151106385,48,3.24663151106385,3.24663151106385,3.24663151106385,2.27896487697915,2.27896487697915,2.27896487697915,2.27896487697915,2.27896487697915,3.33382309338842,3.33382309338842,2.80324332110539,48,2.80324332110539,48,2.80324332110539,2.80324332110539,2.80324332110539,2.72235306693761,2.72235306693761,2.72235306693761,2.72235306693761,2.72235306693761,3.02493741608462,48,3.02493741608462,48,3.02493741608462,3.02493741608462,2.50065897195838,2.50065897195838,3.02493741608462,2.50065897195838,2.50065897195838,2.50065897195838,7.04,0.32371660184363,0.386697878826365,0.355207240334997
"D07_Bouldin_Alfalfa","2016-07-17",5.47043997519144,48,5.47043997519144,48,5.47043997519144,5.47043997519144,5.47043997519144,NA,4.12372282618643,NA,47,3.32696117483191,48,NA,3.32696117483191,3.32696117483191,NA,2.14347880035953,2.14347880035953,2.14347880035953,2.14347880035953,4.03423539891942,4.03423539891942,3.23834010814787,48,3.23834010814787,48,3.23834010814787,3.23834010814787,3.23834010814787,2.23209986704357,2.23209986704357,2.23209986704357,2.23209986704357,2.23209986704357,3.28406587546659,48,3.28265064148989,48,3.28406587546659,3.28265064148989,2.18637409972485,2.18778933370155,3.28265064148989,2.18778933370155,2.18778933370155,2.18778933370155,6.77,0.31661429842829,0.329704559386051,0.323159428907171
"D07_Bouldin_Alfalfa","2016-07-18",5.359702496391,48,5.359702496391,48,5.359702496391,5.359702496391,5.359702496391,NA,4.52009213979631,NA,47,3.64552547512121,48,NA,3.64552547512121,3.64552547512121,NA,1.71417702126979,1.71417702126979,1.71417702126979,1.71417702126979,3.66982092282824,3.66982092282824,2.9820607055965,48,2.9820607055965,48,2.9820607055965,2.9820607055965,2.9820607055965,2.3776417907945,2.3776417907945,2.3776417907945,2.3776417907945,2.3776417907945,3.30606896628948,48,3.3137599111367,48,3.30606896628948,3.3137599111367,2.05363353010152,2.0459425852543,3.3137599111367,2.0459425852543,2.0459425852543,2.0459425852543,6.39,0.268259314752706,0.372087917182238,0.320178808334006
"D07_Bouldin_Alfalfa","2016-07-19",5.27777971391736,48,5.27777971391736,48,5.27777971391736,5.27777971391736,5.27777971391736,4.28535801072062,4.28535801072062,3.53939676757535,48,3.53939676757535,48,3.53939676757535,3.53939676757535,3.53939676757535,1.73838294634201,1.73838294634201,1.73838294634201,1.73838294634201,1.73838294634201,3.46325105932222,3.46325105932222,2.88513256107494,48,2.88513256107494,48,2.88513256107494,2.88513256107494,2.88513256107494,2.39264715284242,2.39264715284242,2.39264715284242,2.39264715284242,2.39264715284242,3.21226466432514,48,3.21226466432514,48,3.21226466432514,3.21226466432514,2.06551504959222,2.06551504959222,3.21226466432514,2.06551504959222,2.06551504959222,2.06551504959222,6.61,0.262992881443572,0.361973850656947,0.31248336605026
"D07_Bouldin_Alfalfa","2016-07-20",5.5186021017342,48,5.5186021017342,48,5.5186021017342,5.5186021017342,5.5186021017342,NA,2.54141395184692,NA,47,2.21419191871349,48,NA,2.21419191871349,2.21419191871349,NA,3.30441018302071,3.30441018302071,3.30441018302071,3.30441018302071,NA,1.98274381597308,NA,46,1.79353189943555,48,NA,1.79353189943555,1.79353189943555,NA,3.72507020229865,3.72507020229865,3.72507020229865,3.72507020229865,1.99212138352031,48,2.00361750993391,48,1.99212138352031,2.00361750993391,3.52648071821389,3.51498459180029,2.00361750993391,3.51498459180029,3.51498459180029,3.51498459180029,7,0.472058597574387,0.532152886042664,0.502140655971471
"D07_Bouldin_Alfalfa","2016-07-21",5.4760853634264,48,5.4760853634264,48,5.4760853634264,5.4760853634264,5.4760853634264,2.74870938409581,2.74870938409581,2.34767785392884,48,2.34767785392884,48,2.34767785392884,2.34767785392884,2.34767785392884,3.12840750949756,3.12840750949756,3.12840750949756,3.12840750949756,3.12840750949756,NA,2.56140498764219,NA,47,2.19257394001454,48,NA,2.19257394001454,2.19257394001454,NA,3.28351142341186,3.28351142341186,3.28351142341186,3.28351142341186,2.2854936817872,48,2.27010520819364,48,2.2854936817872,2.27010520819364,3.19059168163921,3.20598015523276,2.27010520819364,3.20598015523276,3.20598015523276,3.20598015523276,7.29,0.429136832578541,0.450413089631256,0.439777799071709
"D07_Bouldin_Alfalfa","2016-07-22",5.8118037593094,48,5.8118037593094,48,5.8118037593094,5.8118037593094,5.8118037593094,NA,1.88170600847405,NA,46,1.67449732452599,48,NA,1.67449732452599,1.67449732452599,NA,4.13730643478342,4.13730643478342,4.13730643478342,4.13730643478342,NA,1.51717787628404,NA,47,1.39357164766235,48,NA,1.39357164766235,1.39357164766235,NA,4.41823211164705,4.41823211164705,4.41823211164705,4.41823211164705,NA,47,1.53363163121042,48,NA,1.53363163121042,NA,4.27817212809898,1.53363163121042,4.27817212809898,4.27817212809898,4.27817212809898,7.06,0.586020741470739,0.625811913831027,0.605973389249147
"D07_Bouldin_Alfalfa","2016-07-23",6.3014038009254,48,6.3014038009254,48,6.3014038009254,6.3014038009254,6.3014038009254,NA,1.20038159700495,NA,45,1.08564619859924,48,NA,1.08564619859924,1.08564619859924,NA,5.21575760232616,5.21575760232616,5.21575760232616,5.21575760232616,0.607536364146324,0.607536364146324,0.635315358769222,48,0.635315358769222,48,0.635315358769222,0.635315358769222,0.635315358769222,5.66608844215618,5.66608844215618,5.66608844215618,5.66608844215618,5.66608844215618,0.7711728551997,48,0.860296264018851,48,0.7711728551997,0.860296264018851,5.5302309457257,5.44110753690655,0.860296264018851,5.44110753690655,5.44110753690655,5.44110753690655,7.69,0.678251963891569,0.736812541242676,0.707556246671853
"D07_Bouldin_Alfalfa","2016-07-24",6.33609310999644,48,6.33609310999644,48,6.33609310999644,6.33609310999644,6.33609310999644,NA,0.466429106738396,NA,47,0.497923976532544,48,NA,0.497923976532544,0.497923976532544,NA,5.8381691334639,5.8381691334639,5.8381691334639,5.8381691334639,0.0749092627306662,0.0749092627306662,0.203075945361227,48,0.203075945361227,48,0.203075945361227,0.203075945361227,0.203075945361227,6.13301716463521,6.13301716463521,6.13301716463521,6.13301716463521,6.13301716463521,0.353610235157041,48,0.349750797954209,48,0.353610235157041,0.349750797954209,5.9824828748394,5.98634231204223,0.349750797954209,5.98634231204223,5.98634231204223,5.98634231204223,7.4,0.788941774792418,0.828786103329083,0.808965177303004
"D07_Bouldin_Alfalfa","2016-07-25",5.9833694881782,48,5.9833694881782,48,5.9833694881782,5.9833694881782,5.9833694881782,0.692052163280864,0.692052163280864,0.743530986220322,48,0.743530986220322,48,0.743530986220322,0.743530986220322,0.743530986220322,5.23983850195788,5.23983850195788,5.23983850195788,5.23983850195788,5.23983850195788,0.186658868833806,0.186658868833806,0.386728511754264,48,0.386728511754264,48,0.386728511754264,0.386728511754264,0.386728511754264,5.59664097642394,5.59664097642394,5.59664097642394,5.59664097642394,5.59664097642394,0.565076467927356,48,0.565076467927356,48,0.565076467927356,0.565076467927356,5.41829302025084,5.41829302025084,0.565076467927356,5.41829302025084,5.41829302025084,5.41829302025084,7.33,0.714848363159328,0.763525371954152,0.73919413645987
"D07_Bouldin_Alfalfa","2016-07-26",5.8718649889044,48,5.8718649889044,48,5.8718649889044,5.8718649889044,5.8718649889044,NA,0.155516405226681,NA,47,0.321006542478271,48,NA,0.321006542478271,0.321006542478271,NA,5.55085844642613,5.55085844642613,5.55085844642613,5.55085844642613,NA,-0.129222646250212,NA,47,0.0992294481468682,48,NA,0.0992294481468682,0.0992294481468682,NA,5.77263554075753,5.77263554075753,5.77263554075753,5.77263554075753,0.215603036443839,48,0.21011799531257,48,0.215603036443839,0.21011799531257,5.65626195246056,5.66174699359183,0.21011799531257,5.66174699359183,5.66174699359183,5.66174699359183,7.27,0.763529359893553,0.794035150035424,0.778782254964488
"D07_Bouldin_Alfalfa","2016-07-27",5.8943245826502,48,5.8943245826502,48,5.8943245826502,5.8943245826502,5.8943245826502,NA,-1.56323469320243,NA,47,-0.792966620192053,48,NA,-0.792966620192053,-0.792966620192053,NA,6.68729120284225,6.68729120284225,6.68729120284225,6.68729120284225,NA,-1.57218477888983,NA,46,-0.809259753108899,48,NA,-0.809259753108899,-0.809259753108899,NA,6.7035843357591,6.7035843357591,6.7035843357591,6.7035843357591,-0.798872511590695,48,-0.802868087083721,48,-0.798872511590695,-0.802868087083721,6.6931970942409,6.69719266973392,-0.802868087083721,6.69719266973392,6.69719266973392,6.69719266973392,7.75,0.86287628423771,0.864978623968916,0.864153892868893
"D07_Bouldin_Alfalfa","2016-07-28",6.1266458268873,48,6.1266458268873,48,6.1266458268873,6.1266458268873,6.1266458268873,-1.18073019276445,-1.18073019276445,-0.470896142692966,48,-0.470896142692966,48,-0.470896142692966,-0.470896142692966,-0.470896142692966,6.59754196958027,6.59754196958027,6.59754196958027,6.59754196958027,6.59754196958027,NA,-1.20859408888283,NA,47,-0.51049976393477,48,NA,-0.51049976393477,-0.51049976393477,NA,6.63714559082207,6.63714559082207,6.63714559082207,6.63714559082207,-0.482830456976153,48,-0.491728336226503,48,-0.482830456976153,-0.491728336226503,6.60947628386345,6.6183741631138,-0.491728336226503,6.6183741631138,6.6183741631138,6.6183741631138,7.68,0.859054943955764,0.864211665471624,0.861767469155443
