"stationName","date","ET_EC_gf","ET_EC_gf_count","ET_EC_gf_Dgf","ET_EC_gf_Dgf2","ET_EC_gf_Dqc","ET_EC_qc","ET_EC_qc_count","ET_EC_qc_Dgf","ET_EC_qc_Dqc","ET_SR_aH_gf","ET_SR_aH_gf_count","ET_SR_aH_gf_Dgf","ET_SR_aH_gf_Dgf2","ET_SR_aH_gf_Dqc","ET_SR_aH_qc","ET_SR_aH_qc_count","ET_SR_aH_qc_Dgf","ET_SR_aH_qc_Dqc","ET_Tc_aH_gf","ET_Tc_aH_gf_count","ET_Tc_aH_gf_Dgf","ET_Tc_aH_gf_Dgf2","ET_Tc_aH_gf_Dqc","ET_Tc_aH_qc","ET_Tc_aH_qc_count","ET_Tc_aH_qc_Dgf","ET_Tc_aH_qc_Dqc","ET_Tn_aH_gf","ET_Tn_aH_gf_count","ET_Tn_aH_gf_Dgf","ET_Tn_aH_gf_Dgf2","ET_Tn_aH_gf_Dqc","ET_Tn_aH_qc","ET_Tn_aH_qc_count","ET_Tn_aH_qc_Dgf","ET_Tn_aH_qc_Dqc","ETo_mm","G_gf_count","G_gf_mm","G_gf_mm_Dgf","G_gf_mm_Dqc","G_qc_count","G_qc_mm","G_qc_mm_Dqc","H_ECrot_gf_count","H_ECrot_gf_mm","H_ECrot_gf_mm_Dgf","H_ECrot_gf_mm_Dqc","H_ECrot_qc_count","H_ECrot_qc_mm","H_ECrot_qc_mm_Dqc","Ka_EC","Ka_SR","Ka_Tc","Ka_Tn","Rn_Avg_gf_count","Rn_Avg_gf_mm","Rn_Avg_gf_mm_Dgf","Rn_Avg_gf_mm_Dqc","Rn_Avg_qc_count","Rn_Avg_qc_mm","Rn_Avg_qc_mm_Dqc","SR_aH_gf_count","SR_aH_gf_mm","SR_aH_gf_mm_Dgf","SR_aH_gf_mm_Dqc","SR_aH_qc_count","SR_aH_qc_mm","SR_aH_qc_mm_Dqc","Tc_aH_gf_count","Tc_aH_gf_mm","Tc_aH_gf_mm_Dgf","Tc_aH_gf_mm_Dqc","Tc_aH_qc_count","Tc_aH_qc_mm","Tc_aH_qc_mm_Dqc","Tc_H_gf_mm","Tc_H_qc_mm","Tn_aH_gf_count","Tn_aH_gf_mm","Tn_aH_gf_mm_Dgf","Tn_aH_gf_mm_Dqc","Tn_aH_qc_count","Tn_aH_qc_mm","Tn_aH_qc_mm_Dqc","Tn_H_gf_mm","Tn_H_qc_mm","rDateTime"
"D11_Staten_Corn","2016-04-20",NA,8,NA,NA,NA,NA,8,NA,NA,NA,21,NA,NA,NA,NA,21,NA,NA,NA,22,NA,NA,NA,NA,22,NA,NA,NA,22,NA,NA,NA,NA,22,NA,NA,5.17,21,NA,0,NA,21,NA,NA,9,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,22,NA,NA,22,NA,NA,NA,22,NA,NA,22,NA,NA,NA,22,NA,NA,NA,NA,22,NA,NA,NA,22,NA,NA,NA,NA,2016-04-20
"D11_Staten_Corn","2016-04-21",NA,26,NA,NA,NA,NA,23,NA,NA,NA,45,1.47809400529609,1.47809400529609,NA,NA,45,1.47809400529609,NA,1.68078383513202,48,1.49408822688194,1.49408822688194,1.68078383513202,NA,46,1.49408822688194,NA,1.64879539196032,48,1.46209978371024,1.46209978371024,1.64879539196032,NA,46,1.46209978371024,NA,3.9,48,0.186695608250078,0.186695608250078,0.186695608250078,45,NA,NA,26,NA,NA,NA,24,NA,NA,NA,0.378998462896433,0.383099545354343,0.374897380438523,48,4.60432692198,4.60432692198,4.60432692198,46,NA,NA,48,2.93953730843383,2.93953730843383,2.93953730843383,46,NA,NA,48,2.92354308684798,2.92354308684798,2.92354308684798,46,NA,NA,3.17501752365354,NA,48,2.95553153001968,2.95553153001968,2.95553153001968,46,NA,NA,3.21669919634378,NA,2016-04-21
"D11_Staten_Corn","2016-04-22",NA,21,NA,NA,NA,NA,21,NA,NA,2.42037602889936,48,2.42037602889936,2.42037602889936,2.42037602889936,2.40243162832951,48,2.42037602889936,2.40243162832951,1.86639509111036,48,2.4307268174459,2.4307268174459,1.86639509111036,1.86639509111036,48,2.4307268174459,1.86639509111036,1.84569351401729,48,2.41002524035283,2.41002524035283,1.84569351401729,NA,47,2.41002524035283,NA,2.62,48,-0.56433172633554,-0.56433172633554,-0.56433172633554,48,-0.56433172633554,-0.56433172633554,21,NA,NA,NA,21,NA,NA,NA,0.923807644618078,0.927758327269427,0.91985696196673,48,2.6863055344584,2.6863055344584,2.6863055344584,48,2.6863055344584,2.6863055344584,48,0.830261231894575,0.830261231894575,0.830261231894575,48,0.848205632464428,0.848205632464428,48,0.819910443348041,0.819910443348041,0.819910443348041,48,0.819910443348041,0.819910443348041,0.620422494931887,0.620422494931887,48,0.840612020441108,0.840612020441108,0.840612020441108,47,NA,NA,0.652404969721631,NA,2016-04-22
"D11_Staten_Corn","2016-04-23",NA,24,NA,NA,NA,NA,24,NA,NA,2.92782635035946,48,2.92782635035946,2.92782635035946,2.92782635035946,2.92782635035946,48,2.92782635035946,2.92782635035946,3.09211724165986,48,2.88416369092258,2.88416369092258,3.09211724165986,3.09211724165986,48,2.88416369092258,3.09211724165986,3.17944256053361,48,2.97148900979633,2.97148900979633,3.17944256053361,3.17944256053361,48,2.97148900979633,3.17944256053361,4.04,48,0.207953550737275,0.207953550737275,0.207953550737275,48,0.207953550737275,0.207953550737275,24,NA,NA,NA,24,NA,NA,NA,0.724709492663232,0.713901903693709,0.735517081632756,48,5.5283588372574,5.5283588372574,5.5283588372574,48,5.5283588372574,5.5283588372574,48,2.39257893616067,2.39257893616067,2.39257893616067,48,2.39257893616067,2.39257893616067,48,2.43624159559754,2.43624159559754,2.43624159559754,48,2.43624159559754,2.43624159559754,2.55200367313545,2.55200367313545,48,2.34891627672379,2.34891627672379,2.34891627672379,48,2.34891627672379,2.34891627672379,2.43921773638683,2.43921773638683,2016-04-23
"D11_Staten_Corn","2016-04-24",NA,24,NA,NA,NA,NA,24,NA,NA,0.97622491647838,48,0.97622491647838,0.97622491647838,0.97622491647838,0.97622491647838,48,0.97622491647838,0.97622491647838,0.975300215399635,48,0.977910796846024,0.977910796846024,0.975300215399635,0.975300215399635,48,0.977910796846024,0.975300215399635,0.971928454664347,48,0.974539036110735,0.974539036110735,0.971928454664347,0.971928454664347,48,0.974539036110735,0.971928454664347,4.52,48,-0.00261058144638917,-0.00261058144638917,-0.00261058144638917,48,-0.00261058144638917,-0.00261058144638917,24,NA,NA,NA,24,NA,NA,NA,0.21597896382265,0.216351946204873,0.215605981440428,48,4.56395108181336,4.56395108181336,4.56395108181336,48,4.56395108181336,4.56395108181336,48,3.59033674678137,3.59033674678137,3.59033674678137,48,3.59033674678137,3.59033674678137,48,3.58865086641373,3.58865086641373,3.58865086641373,48,3.58865086641373,3.58865086641373,3.88118566523069,3.88118566523069,48,3.59202262714901,3.59202262714901,3.59202262714901,48,3.59202262714901,3.59202262714901,3.87578397679306,3.87578397679306,2016-04-24
"D11_Staten_Corn","2016-04-25",NA,24,NA,NA,NA,NA,24,NA,NA,-0.744469065510308,48,-0.744469065510308,-0.744469065510308,-0.744469065510308,-0.77655827018766,48,-0.744469065510308,-0.77655827018766,-0.893108206446761,48,-0.767729923136546,-0.767729923136546,-0.893108206446761,NA,46,-0.767729923136546,NA,-0.846586491194284,48,-0.721208207884069,-0.721208207884069,-0.846586491194284,NA,47,-0.721208207884069,NA,5.37,48,-0.125378283310215,-0.125378283310215,-0.125378283310215,48,-0.125378283310215,-0.125378283310215,24,NA,NA,NA,24,NA,NA,NA,-0.13863483529056,-0.142966466133435,-0.134303204447685,48,5.0856469628922,5.0856469628922,5.0856469628922,48,5.0856469628922,5.0856469628922,48,5.95549431171272,5.95549431171272,5.95549431171272,48,5.98758351639007,5.98758351639007,48,5.97875516933896,5.97875516933896,5.97875516933896,46,NA,NA,6.35940669991027,NA,48,5.93223345408648,5.93223345408648,5.93223345408648,47,NA,NA,6.29520981745941,NA,2016-04-25
"D11_Staten_Corn","2016-04-26",NA,25,NA,NA,NA,NA,25,NA,NA,0.543759096855131,48,0.543759096855131,0.543759096855131,0.543759096855131,0.543759096855131,48,0.543759096855131,0.543759096855131,0.592531842934964,48,0.519369911818241,0.519369911818241,0.592531842934964,0.592531842934964,48,0.519369911818241,0.592531842934964,0.641310213008744,48,0.568148281892021,0.568148281892021,0.641310213008744,0.641310213008744,48,0.568148281892021,0.641310213008744,4.72,48,0.0731619311167229,0.0731619311167229,0.0731619311167229,48,0.0731619311167229,0.0731619311167229,25,NA,NA,NA,25,NA,NA,NA,0.115203198486257,0.110035998266576,0.120370398705937,48,4.6212469234182,4.6212469234182,4.6212469234182,48,4.6212469234182,4.6212469234182,48,4.00432589544635,4.00432589544635,4.00432589544635,48,4.00432589544635,4.00432589544635,48,4.02871508048324,4.02871508048324,4.02871508048324,48,4.02871508048324,4.02871508048324,4.24894749724018,4.24894749724018,48,3.97993671040946,3.97993671040946,3.97993671040946,48,3.97993671040946,3.97993671040946,4.17294583902419,4.17294583902419,2016-04-26
"D11_Staten_Corn","2016-04-27",NA,25,NA,NA,NA,NA,25,NA,NA,NA,46,0.748749320822496,0.748749320822496,NA,NA,46,NA,NA,NA,46,0.752899737916052,0.752899737916052,NA,NA,46,NA,NA,NA,46,0.744598903728939,0.744598903728939,NA,NA,45,NA,NA,3.74,46,NA,0,NA,46,NA,NA,25,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,46,NA,4.81862587897092,NA,46,NA,NA,46,NA,4.06987655814842,NA,46,NA,NA,46,NA,4.06572614105487,NA,46,NA,NA,NA,NA,46,NA,4.07402697524198,NA,45,NA,NA,NA,NA,2016-04-27
"D11_Staten_Corn","2016-04-28",NA,0,NA,NA,NA,NA,0,NA,NA,NA,12,0.880577613673138,0.880577613673138,NA,NA,12,NA,NA,NA,12,0.91326763289714,0.91326763289714,NA,NA,11,NA,NA,NA,12,0.847887594449134,0.847887594449134,NA,NA,12,NA,NA,5.74,12,NA,0,NA,12,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,13,NA,5.01600483452364,NA,13,NA,NA,12,NA,4.1354272208505,NA,12,NA,NA,12,NA,4.1027372016265,NA,11,NA,NA,NA,NA,12,NA,4.16811724007451,NA,12,NA,NA,NA,NA,2016-04-28
"D11_Staten_Corn","2016-04-29",NA,0,NA,NA,NA,NA,0,NA,NA,0.789619463097137,48,0.789619463097137,0.789619463097137,0.789619463097137,0.789619463097137,48,0.789619463097137,0.789619463097137,1.07363552787823,48,0.850849084451587,0.850849084451587,1.07363552787823,1.07363552787823,48,0.850849084451587,1.07363552787823,0.951176285169329,48,0.728389841742687,0.728389841742687,0.951176285169329,0.951176285169329,48,0.728389841742687,0.951176285169329,5.08,48,0.222786443426642,0.222786443426642,0.222786443426642,48,0.222786443426642,0.222786443426642,0,NA,NA,NA,0,NA,NA,NA,0.155436902184476,0.167489977254249,0.143383827114702,48,5.21338379007636,5.21338379007636,5.21338379007636,48,5.21338379007636,5.21338379007636,48,4.20097788355258,4.20097788355258,4.20097788355258,48,4.20097788355258,4.20097788355258,48,4.13974826219813,4.13974826219813,4.13974826219813,48,4.13974826219813,4.13974826219813,4.5420896914372,4.5420896914372,48,4.26220750490703,4.26220750490703,4.26220750490703,48,4.26220750490703,4.26220750490703,4.67467933707009,4.67467933707009,2016-04-29
