"stationName","date","Rn_Avg_qc_mm","Rn_Avg_qc_count","Rn_Avg_gf_mm","Rn_Avg_gf_count","Rn_Avg_qc_mm_Dqc","Rn_Avg_gf_mm_Dqc","Rn_Avg_gf_mm_Dgf","Tc_H_qc_mm","Tc_H_gf_mm","Tc_aH_qc_mm","Tc_aH_qc_count","Tc_aH_gf_mm","Tc_aH_gf_count","Tc_aH_qc_mm_Dqc","Tc_aH_gf_mm_Dqc","Tc_aH_gf_mm_Dgf","ET_Tc_aH_qc_Dqc","ET_Tc_aH_gf_Dqc","ET_Tc_aH_qc_Dgf","ET_Tc_aH_gf_Dgf","ET_Tc_aH_gf_Dgf2","Tn_H_qc_mm","Tn_H_gf_mm","Tn_aH_qc_mm","Tn_aH_qc_count","Tn_aH_gf_mm","Tn_aH_gf_count","Tn_aH_qc_mm_Dqc","Tn_aH_gf_mm_Dqc","Tn_aH_gf_mm_Dgf","ET_Tn_aH_qc_Dqc","ET_Tn_aH_gf_Dqc","ET_Tn_aH_qc_Dgf","ET_Tn_aH_gf_Dgf","ET_Tn_aH_gf_Dgf2","SR_aH_qc_mm","SR_aH_qc_count","SR_aH_gf_mm","SR_aH_gf_count","SR_aH_qc_mm_Dqc","SR_aH_gf_mm_Dqc","ET_SR_aH_qc_Dqc","ET_SR_aH_gf_Dqc","SR_aH_gf_mm_Dgf","ET_SR_aH_qc_Dgf","ET_SR_aH_gf_Dgf","ET_SR_aH_gf_Dgf2","ETo_mm","Ka_Tc","Ka_Tn","Ka_SR"
"D08_Bouldin_Corn","2016-07-14",2.78760807368136,23,2.78760807368136,23,NA,NA,NA,-2.83459958240329,-2.83459958240329,-0.696220989465396,23,-0.696220989465396,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.8622732479078,NA,22,-0.751134397340514,23,NA,NA,NA,NA,NA,NA,NA,NA,-0.730842918138905,23,-0.723677693402955,23,NA,NA,NA,NA,NA,NA,NA,NA,7.44,NA,NA,NA
"D08_Bouldin_Corn","2016-07-15",6.7079246518062,48,6.7079246518062,48,6.7079246518062,6.7079246518062,6.7079246518062,NA,-0.768812981406108,NA,47,0.500414925107888,48,NA,0.500414925107888,0.500414925107888,NA,6.20750972669831,6.20750972669831,6.20750972669831,6.20750972669831,NA,-0.90718452963988,NA,47,0.436921189523391,48,NA,0.436921189523391,0.436921189523391,NA,6.27100346228281,6.27100346228281,6.27100346228281,6.27100346228281,0.479187894533341,48,0.468668057315639,48,0.479187894533341,0.468668057315639,6.22873675727286,6.23925659449056,0.468668057315639,6.23925659449056,6.23925659449056,6.23925659449056,7.4,0.838852665770042,0.847432900308488,0.843142783039265
"D08_Bouldin_Corn","2016-07-16",6.66247428059598,48,6.66247428059598,48,6.66247428059598,6.66247428059598,6.66247428059598,NA,1.9994394697989,NA,47,2.26108136932541,48,NA,2.26108136932541,2.26108136932541,NA,4.40139291127057,4.40139291127057,4.40139291127057,4.40139291127057,1.70679989473047,1.70679989473047,2.06165747600781,48,2.06165747600781,48,2.06165747600781,2.06165747600781,2.06165747600781,4.60081680458817,4.60081680458817,4.60081680458817,4.60081680458817,4.60081680458817,2.14089404974939,48,2.16136942266661,48,2.14089404974939,2.16136942266661,4.52158023084659,4.50110485792937,2.16136942266661,4.50110485792937,4.50110485792937,4.50110485792937,7.03,0.6260871851025,0.654454737494761,0.64027096129863
"D08_Bouldin_Corn","2016-07-17",6.59649509131428,48,6.59649509131428,48,6.59649509131428,6.59649509131428,6.59649509131428,2.34913427564168,2.34913427564168,2.16289933001534,48,2.16289933001534,48,2.16289933001534,2.16289933001534,2.16289933001534,4.43359576129894,4.43359576129894,4.43359576129894,4.43359576129894,4.43359576129894,NA,2.50051964988387,NA,47,2.29234383904722,48,NA,2.29234383904722,2.29234383904722,NA,4.30415125226706,4.30415125226706,4.30415125226706,4.30415125226706,2.23064275091895,48,2.22756010927004,48,2.23064275091895,2.22756010927004,4.36585234039533,4.36893498204424,2.22756010927004,4.36893498204424,4.36893498204424,4.36893498204424,6.75,0.656829001673917,0.637652037372898,0.647249626969517
"D08_Bouldin_Corn","2016-07-18",6.53498284118778,48,6.53498284118778,48,6.53498284118778,6.53498284118778,6.53498284118778,2.97736845368438,2.97736845368438,2.603384551677,48,2.603384551677,48,2.603384551677,2.603384551677,2.603384551677,3.93159828951078,3.93159828951078,3.93159828951078,3.93159828951078,3.93159828951078,NA,3.23563648705219,NA,47,2.77867756669108,48,NA,2.77867756669108,2.77867756669108,NA,3.7563052744967,3.7563052744967,3.7563052744967,3.7563052744967,2.70197470585654,48,2.69097991434039,48,2.70197470585654,2.69097991434039,3.83300813533124,3.84400292684739,2.69097991434039,3.84400292684739,3.84400292684739,3.84400292684739,6.36,0.618175831684086,0.590614036870551,0.604402975919401
"D08_Bouldin_Corn","2016-07-19",6.41435638195494,48,6.41435638195494,48,6.41435638195494,6.41435638195494,6.41435638195494,1.6490876193405,1.6490876193405,2.07222350937371,48,2.07222350937371,48,2.07222350937371,2.07222350937371,2.07222350937371,4.34213287258123,4.34213287258123,4.34213287258123,4.34213287258123,4.34213287258123,1.77248229235829,1.77248229235829,2.11098086972046,48,2.11098086972046,48,2.11098086972046,2.11098086972046,2.11098086972046,4.30337551223448,4.30337551223448,4.30337551223448,4.30337551223448,4.30337551223448,2.09160218954709,48,2.09160218954709,48,2.09160218954709,2.09160218954709,4.32275419240785,4.32275419240785,2.09160218954709,4.32275419240785,4.32275419240785,4.32275419240785,6.61,0.656903611585662,0.651040168265428,0.653971889925545
"D08_Bouldin_Corn","2016-07-20",6.5127458597058,48,6.5127458597058,48,6.5127458597058,6.5127458597058,6.5127458597058,0.401179651653772,0.401179651653772,1.24955657159189,48,1.24955657159189,48,1.24955657159189,1.24955657159189,1.24955657159189,5.26318928811391,5.26318928811391,5.26318928811391,5.26318928811391,5.26318928811391,0.226406127304176,0.226406127304176,1.1701581315279,48,1.1701581315279,48,1.1701581315279,1.1701581315279,1.1701581315279,5.3425877281779,5.3425877281779,5.3425877281779,5.3425877281779,5.3425877281779,1.20959129314573,48,1.20959129314573,48,1.20959129314573,1.20959129314573,5.30315456656007,5.30315456656007,1.20959129314573,5.30315456656007,5.30315456656007,5.30315456656007,7.02,0.749742063833891,0.761052382931325,0.755435123441605
"D08_Bouldin_Corn","2016-07-21",6.1133662339218,48,6.1133662339218,48,6.1133662339218,6.1133662339218,6.1133662339218,1.57623134715806,1.57623134715806,2.00572126894553,48,2.00572126894553,48,2.00572126894553,2.00572126894553,2.00572126894553,4.10764496497627,4.10764496497627,4.10764496497627,4.10764496497627,4.10764496497627,NA,1.90090857772918,NA,47,2.29616299619939,48,NA,2.29616299619939,2.29616299619939,NA,3.81720323772241,3.81720323772241,3.81720323772241,3.81720323772241,2.15088948689017,48,2.15082148317445,48,2.15088948689017,2.15082148317445,3.96247674703163,3.96254475074735,2.15082148317445,3.96254475074735,3.96254475074735,3.96254475074735,7.26,0.565791317489845,0.525785569934216,0.545805062086411
"D08_Bouldin_Corn","2016-07-22",6.48238316324742,48,6.48238316324742,48,6.48238316324742,6.48238316324742,6.48238316324742,-0.38934896598977,-0.38934896598977,1.14614046923814,48,1.14614046923814,48,1.14614046923814,1.14614046923814,1.14614046923814,5.33624269400928,5.33624269400928,5.33624269400928,5.33624269400928,5.33624269400928,-0.177607461243726,-0.177607461243726,1.40487438616302,48,1.40487438616302,48,1.40487438616302,1.40487438616302,1.40487438616302,5.0775087770844,5.0775087770844,5.0775087770844,5.0775087770844,5.0775087770844,1.27550742770058,48,1.27550742770058,48,1.27550742770058,1.27550742770058,5.20687573554684,5.20687573554684,1.27550742770058,5.20687573554684,5.20687573554684,5.20687573554684,7.08,0.75370659519905,0.717162256650339,0.735434425924694
"D08_Bouldin_Corn","2016-07-23",6.65046938161638,48,6.65046938161638,48,6.65046938161638,6.65046938161638,6.65046938161638,NA,-2.44868533865809,NA,45,-0.241286544729401,48,NA,-0.241286544729401,-0.241286544729401,NA,6.89175592634578,6.89175592634578,6.89175592634578,6.89175592634578,NA,-2.12633470934647,NA,47,-0.0341135798502785,48,NA,-0.0341135798502785,-0.0341135798502785,NA,6.68458296146666,6.68458296146666,6.68458296146666,6.68458296146666,-0.149399310591517,48,-0.137957594184548,48,-0.149399310591517,-0.137957594184548,6.7998686922079,6.78842697580093,-0.137957594184548,6.78842697580093,6.78842697580093,6.78842697580093,7.67,0.898534019080284,0.87152320227727,0.885062187196992
